percentontask,(All)
,
Row Labels,Average of percent_met
A G West Black Hills High School,0.523333333
English Language Arts,0.78
Math,0.42
Science,0.37
Aberdeen School District,0.366666667
English Language Arts,0.45
Math,0.36
Science,0.29
Adna Middle/High School,0.473333333
English Language Arts,0.63
Math,0.47
Science,0.32
Adna School District,0.513333333
English Language Arts,0.62
Math,0.5
Science,0.42
Almira Coulee Hartline High School,0.553333333
English Language Arts,0.75
Math,0.45
Science,0.46
Anacortes High School,0.66
English Language Arts,0.87
Math,0.59
Science,0.52
Anacortes School District,0.658
English Language Arts,0.64
Math,0.7
Science,0.61
Arlington High School,0.613333333
English Language Arts,0.78
Math,0.47
Science,0.59
Arlington School District,0.486666667
English Language Arts,0.56
Math,0.48
Science,0.42
Auburn Mountainview High School,0.463333333
English Language Arts,0.71
Math,0.38
Science,0.3
Auburn Riverside High School,0.47
English Language Arts,0.73
Math,0.44
Science,0.24
Auburn School District,0.44
English Language Arts,0.505
Math,0.54
Science,0.275
Auburn Senior High School,0.33
English Language Arts,0.6
Math,0.22
Science,0.17
Aylen Jr High,0.67
English Language Arts,0.755
Math,0.51
Science,0.66
Bainbridge High School,0.583333333
English Language Arts,0.89
Math,0.74
Science,0.12
Bainbridge Island School District,0.72
English Language Arts,0.815
Math,0.715
Science,0.54
Ballard High School,0.67
English Language Arts,0.9
Math,0.68
Science,0.43
Ballou Jr High,0.675
English Language Arts,0.795
Math,0.48
Science,0.63
Barker Creek Community School,0.28
English Language Arts,0.43
Math,0.18
Science,0.23
Battle Ground High School,0.493333333
English Language Arts,0.71
Math,0.46
Science,0.31
Battle Ground School District,0.495
English Language Arts,0.575
Math,0.52
Science,0.39
Bellevue High School,0.57
English Language Arts,0.88
Math,0.82
Science,0.01
Bellevue School District,0.63
English Language Arts,0.65
Math,0.655
Science,0.585
Bellingham High School,0.51
English Language Arts,0.85
Math,0.56
Science,0.12
Bellingham School District,0.435
English Language Arts,0.515
Math,0.48
Science,0.31
Bethel High School,0.416666667
English Language Arts,0.64
Math,0.3
Science,0.31
Bethel School District,0.471666667
English Language Arts,0.525
Math,0.505
Science,0.385
Blaine High School,0.583333333
English Language Arts,0.74
Math,0.43
Science,0.58
Blaine School District,0.642
English Language Arts,0.675
Math,0.64
Science,0.58
Bonney Lake High School,0.573333333
English Language Arts,0.8
Math,0.43
Science,0.49
Bothell High School,0.636666667
English Language Arts,0.85
Math,0.57
Science,0.49
Bremerton High School,0.446666667
English Language Arts,0.66
Math,0.25
Science,0.43
Bremerton School District,0.4
English Language Arts,0.37
Math,0.405
Science,0.45
Brewster High School,0.296666667
English Language Arts,0.51
Math,0.16
Science,0.22
Brewster School District,0.3
English Language Arts,0.39
Math,0.28
Science,0.23
Bridgeport High School,0.353333333
English Language Arts,0.57
Math,0.21
Science,0.28
Bridgeport School District,0.24
English Language Arts,0.28
Math,0.2
Science,0.24
Burlington Edison High School,0.493333333
English Language Arts,0.63
Math,0.37
Science,0.48
Burlington-Edison School District,0.456
English Language Arts,0.515
Math,0.43
Science,0.39
Camas High School,0.546666667
English Language Arts,0.88
Math,0.66
Science,0.1
Camas School District,0.56
English Language Arts,0.575
Math,0.665
Science,0.44
Cape Flattery School District,0.393333333
English Language Arts,0.47
Math,0.38
Science,0.33
Capital High School,0.52
English Language Arts,0.86
Math,0.54
Science,0.16
Cascade High School,0.53
English Language Arts,0.715
Math,0.38
Science,0.46
Cascade School District,0.543333333
English Language Arts,0.66
Math,0.53
Science,0.44
CASHMERE HIGH SCHOOL,0.6
